#ps1_objid,ps1_ra,ps1_ra_error,ps1_dec,ps1_dec_error,ps1_gpsf,ps1_gpsf_error,ps1_rpsf,ps1_rpsf_error,ps1_ipsf,ps1_ipsf_error,ps1_zpsf,ps1_zpsf_error,ps1_ypsf,ps1_ypsf_error,teff,logg,feh,sam_g,sam_r,sam_i,sam_z,sam_y,sam_j,sam_h,sam_k,scale_factor,scale_factor_error,chi2,computed_j,computed_j_error,computed_h,computed_h_error,computed_k,computed_k_error,gaia_source_id,gaia_ra,gaia_ra_error,gaia_dec,gaia_dec_error,gaia_parallax,gaia_parallax_error,gaia_pmgaia_pm_ra,gaia_pm_ra_error,gaia_pm_dec,gaia_pm_dec_error,gaia_ruwe,objinfoflag,qualityflag,ndetections,nstackdetections,ginfoflag,ginfoflag2,ginfoflag3,rinfoflag,rinfoflag2,rinfoflag3,iinfoflag,iinfoflag2,iinfoflag3,zinfoflagzinfoflag2,zinfoflag3,yinfoflag,yinfoflag2,yinfoflag3,SAM Flag
1.267506665888809e+17,66.6589224160378,0.000593540193908924,15.6252968869436,0.000582555729097993,18.5779991149902,0.00510200019925833,17.7236995697021,0.00175199995283037,17.1287994384766,0.00165700004436076,16.8349990844727,0.00231699994765222,16.6513996124268,0.00386200007051229,3900.0,1.5,0.3,-35.305725,-36.320952,-36.838765,-37.089922,-37.236724,-37.441605,-37.513122,-37.179599,53.92960053294949,1.042581846340371e-05,0.0885964572605363,15.58399553294949,0.0008000679331723224,15.030478532949491,0.0008000679331723224,14.90200153294949,0.0008000679331723224,3.312758822876539e+18,66.65892464602526,0.09750551,15.625296522838514,0.05092958,0.773609199244336,0.1094991,4.1737986,0.04944010539121596,0.14007448,-4.173505902402995,0.09522022,0.96201867,503635968.0,60.0,69.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.2667066380343707e+17,66.3803576255351,0.00321928657601525,15.5637637908674,0.00317317889202626,21.332799911499,0.0335110016167164,20.0515995025635,0.0115909995511174,19.402099609375,0.00886300019919872,19.1068000793457,0.0124899996444583,18.8651008605957,0.0243400000035763,3600.0,1.0,0.0,-34.331236,-35.638628,-36.270754,-36.587371,-36.782133,-37.116976,-37.451729,-37.15484,55.66157136346853,0.0004168653927546465,0.007711425877632251,17.64059536346853,0.0008000679331723224,16.823842363468533,0.0008000679331723224,16.65873136346853,0.0008000679331723224,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,64.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.2699066565178166e+17,66.5652155542366,0.000219881819598046,15.8259416417057,0.00022012890185282,16.8831005096436,0.0015640000347048,15.7276000976563,0.00080300000263378,15.3285999298096,0.000530000019352883,14.9949998855591,0.000908999994862825,14.8540000915527,0.00123099994380027,4062.5,4.5,-0.4,-35.400427,-36.516874,-36.960359,-37.244149,-37.404083,-37.653654,-37.937181,-37.541833,52.25065639051995,1.1426893971194813e-06,0.008776635231775144,13.693002390519947,0.0008000679331723224,12.927475390519946,0.0008000679331723224,12.860823390519954,0.0008000679331723224,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,503635968.0,60.0,66.0,5.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0
1.2691067050947386e+17,67.0509605766991,0.00365273231586851,15.7611037699158,0.00360029502584267,21.1700992584229,0.0323540009558201,20.2040996551514,0.0108920000493526,19.574499130249,0.00932299997657537,19.1968002319336,0.0181159991770983,19.100700378418,0.0266280006617308,4000.0,3.5,-3.0,-35.258338,-36.283507,-36.912459,-37.185423,-37.333643,-37.61129,-37.914514,-37.542946,56.43173713836281,0.0004579150433826583,0.038093246041646954,17.916447138362816,0.0008000679331723224,17.131223138362817,0.0008000679331723224,17.04079113836281,0.0008000679331723224,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,61.0,5.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0
1.2690066295105133e+17,66.2950834918247,0.000671371950972475,15.750678923286,0.000674532368300042,20.3080997467041,0.020974000915885,18.8747997283936,0.00586900021880865,17.3346004486084,0.00228499993681908,16.6877994537354,0.00210399995557964,16.3274002075195,0.00322599988430738,3000.0,4.5,-1.6,-32.237704,-33.650951,-35.173686,-35.854801,-36.164886,-36.653607,-36.746152,-36.518711,52.510931614594256,9.888179875316287e-05,0.008057218744063137,14.953324614594255,0.0008000679331723224,14.378779614594253,0.0008000679331723224,14.144220614594254,0.0008000679331723224,3.31277373070648e+18,66.2950824791299,0.1326394,15.75067969299522,0.06469636,3.3830990194998547,0.14612523,1.2717204,-0.8913597480118334,0.17902702,0.9070559444279823,0.12035386,1.0456705,503635968.0,60.0,59.0,10.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.2705066536422611e+17,66.5364616329379,0.00312137483761065,15.8796389064554,0.00308699913548911,22.0303001403809,0.0547540001571178,20.4757995605469,0.0146949999034405,19.3370990753174,0.00732199987396598,18.8293991088867,0.010513000190258,18.4416999816895,0.0176139995455742,3300.0,5.0,-2.0,-33.26673,-34.778026,-35.929854,-36.461409,-36.688521,-37.023332,-37.073532,-36.792189,55.235724095425006,0.0007376662781027968,0.08513277805851951,17.308392095425003,0.0008000679331723224,16.776192095425007,0.0008000679331723224,16.595535095425003,0.0008000679331723224,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,58.0,5.0,195035141.0,655360.0,196608.0,195035141.0,655360.0,196608.0,195035141.0,655360.0,196608.0,195035141.0,655360.0,196608.0,195035141.0,655360.0,196608.0
1.2728066962197715e+17,66.962207951497,0.00143678388811354,16.0722009101894,0.00146627902590763,19.5911998748779,0.00985900033265352,18.8593997955322,0.00420999992638826,18.3943004608154,0.00376800005324185,18.1280994415283,0.00573199987411499,17.9444007873535,0.0108409998938441,4187.5,3.0,1.0,-35.926496,-36.779113,-37.198711,-37.401232,-37.533364,-37.711636,-37.888202,-37.52965,55.53903150120241,5.590098251917281e-05,0.07900736823755643,16.92339550120241,0.0008000679331723224,16.26482950120241,0.0008000679331723224,16.16138150120241,0.0008000679331723224,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,62.0,10.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.267706677882717e+17,66.7788588833134,0.000131457050543689,15.6426579750849,0.000133949011736725,15.4084997177124,0.000734000001102686,14.6189002990723,0.00036599999293685,14.2058000564575,0.000320999999530613,13.9925003051758,0.000609999988228083,13.7929000854492,0.000900999992154539,4187.5,3.0,0.5,-35.919123,-36.767881,-37.174594,-37.373682,-37.509927,-37.709335,-37.937748,-37.559131,51.34053055075278,3.9193079352958226e-07,0.026194703041619773,12.727195550752779,0.0008000679331723224,12.016782550752781,0.0008000679331723224,11.933399550752782,0.0008000679331723224,3.3127133305829325e+18,66.77886160010833,0.019954609,15.64265854254528,0.010273439,1.3236041075994396,0.022455655,2.153513,1.2537293564214471,0.026937617,1.7509370007684542,0.018447336,0.9827411,503635968.0,60.0,70.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.2660066892283914e+17,66.8922867749988,0.00257852833295397,15.5071928315039,0.00266891149033793,20.2089004516602,0.0127809997648001,19.4176006317139,0.00768900010734797,18.9081001281738,0.00831000041216612,18.8383007049561,0.0113869998604059,18.6368007659912,0.0197209995239973,4250.0,3.75,1.0,-36.071013,-36.894462,-37.298958,-37.49087,-37.61383,-37.760375,-37.87702,-37.527455,56.26355009549527,0.0001620224745070408,0.0467679165650926,17.599175095495266,0.0008000679331723224,17.000530095495268,0.0008000679331723224,16.888095095495263,0.0008000679331723224,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527232.0,52.0,58.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.2749066957783051e+17,66.9577852065193,0.00309576550793879,16.241655341185,0.00312242608469978,20.6256008148193,0.0364289991557598,19.8675994873047,0.0117140002548695,19.2817001342773,0.00820299983024597,18.8876991271973,0.0128650004044175,18.8220996856689,0.0228729993104935,3900.0,1.5,0.3,-35.305725,-36.320952,-36.838765,-37.089922,-37.236724,-37.441605,-37.513122,-37.179599,56.04314644661586,0.00044405226410798896,0.22246725357265265,17.697541446615855,0.0008000679331723224,17.144024446615855,0.0008000679331723224,17.01554744661585,0.0008000679331723224,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,53.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
